,
Install,Install
Sitemap,Sitemap
"Update SEO Setting Success.","Update SEO Setting Success."
"Update Webmaster Tools Success.","Update Webmaster Tools Success."
"Update Sitemap Setting Success.","Update Sitemap Setting Success."
Page,Page
"Help Center","Help Center"
"Snippet preview","Snippet preview"
"Focus keyword","Focus keyword"
"Canonical URL","Canonical URL"
"Check list","Check list"
"Facebook title","Facebook title"
"If you don't want to use the post title for sharing the post on Facebook but instead want another title there, write it here","If you don't want to use the post title for sharing the post on Facebook but instead want another title there, write it here"
"Facebook Description","Facebook Description"
"If you don't want to use the meta description for sharing the post on Facebook but want another description there, write it here","If you don't want to use the meta description for sharing the post on Facebook but want another description there, write it here"
"Facebook Image","Facebook Image"
"Twitter title","Twitter title"
"If you don't want to use the post title for sharing the post on Twitter but instead want another title there, write it here","If you don't want to use the post title for sharing the post on Twitter but instead want another title there, write it here"
"Twitter Description","Twitter Description"
"If you don't want to use the meta description for sharing the post on Twitter but want another description there, write it here","If you don't want to use the meta description for sharing the post on Twitter but want another description there, write it here"
"Twitter Image","Twitter Image"
