,
Error,Error
"Unable to verify copyright, please check again (Error code 400)","Unable to verify copyright, please check again (Error code 400)"
Success,Success
"License update successful","License update successful"
"Sorry, you are not allowed to access this page","Sorry, you are not allowed to access this page"
Fail,Fail
"(Not Found)","(Not Found)"
Page,Trang
Title,"Tiêu đề"
Slug,Slug
Description,"Mô tả"
"Normal descriptions are not used in the interface, however some interfaces display this description.","Normal descriptions are not used in the interface, however some interfaces display this description."
Content,"Nội dung"
"Content Of Page","Content Of Page"
--Select--,--Select--
User,"Người dùng"
Email,"Thử điện tử"
"First Name",Họ
"Last Name",Tên
Password,"Mật Khẩu"
Edit,"Chỉnh sửa"
"Login as","Đăng nhập như là"
Profile,"Hồ sơ cá nhân"
Dashboard,"Bảng điều khiên"
Theme,Theme
Widget,Widget
Menu,Menu
"Mail Templates","Mail Templates"
"Theme Options","Theme Options"
Log,Log
Media,"Thư viện file"
"All User","Tất cả người dùng"
"Create User","Tạo người dùng"
"User Role Editor","Chỉnh sửa vai trò"
Appearance,"Giao diện"
Tool,"Công cụ"
Plugin,"Gói mở rộng"
System,"Hê thống"
Setting,"Cài đặt"
Environment,"Môi trường"
"Cache Management","Cache Management"
Customize,"Tùy chỉnh"
Download,Tải
Remove,Xóa
Loading,Loading
Shortcuts,Shortcuts
Document,Document
Contact,Contact
"no data available","Không có dữ liệu"
"Select All","Chọn tất cả"
"Add to Menu","Thêm menu"
Menus,Menus
"Navigation Label","Điều hướng"
"Title Attribute","Tiêu đề thuộc tính"
"Open link in a new tab","Mở link trong tab mới"
"CSS Classes (optional)","CSS Classes (Tùy chọn)"
"Link Relationship (XFN)","Link Relationship (XFN)"
Delete,Xóa
Close,Đóng
"Create menu success","Create menu success"
"Edit menu success","Edit menu success"
"Delete menu success","Delete menu success"
"Edit location menu success","Edit location menu success"
"Custom Links","Tùy chỉnh liên kết"
"Menu Items","Menu Items"
"Page Theme","Trang của theme"
"Route Static","Route Static"
"Select menu to edit","Chọn menu để chỉnh sửa"
Select,Chọn
"Or create a new menu:","Or create a new menu:"
"Post Type","Post Type"
Home,"Trang chủ"
"Error 404","Error 404"
URL,URL
"Link Text","Link Text"
Add,Add
"Save Menu","Lưu menu"
"Menu Structure","cấu trúc menu"
"Drag each item into the order you want. Click the arrow to the right of the item to display more configuration options","Drag each item into the order you want. Click the arrow to the right of the item to display more configuration options"
Clear,Clear
"Save Changes","Save Changes"
Themes,Themes
"Create a new theme","Create a new theme"
"Add new theme","Add new theme"
Version,Version
By,By
Tags,Tags
Active,Active
"Import Data Sample","Import Data Sample"
"Are you sure you want to delete this theme?nnClick 'Cancel' to go back, 'OK' to confirm the delete","Are you sure you want to delete this theme?nnClick 'Cancel' to go back, 'OK' to confirm the delete"
"Are you sure you want import data sample?nnClick 'Cancel' to go back, 'OK' to confirm the import","Are you sure you want import data sample?nnClick 'Cancel' to go back, 'OK' to confirm the import"
"No information","No information"
"login to server failed!","login to server failed!"
"Connection to server failed!","Connection to server failed!"
"Synchronization Success!","Synchronization Success!"
"Sorry, can not delete the theme being used","Sorry, can not delete the theme being used"
"Sorry, can not delete theme","Sorry, can not delete theme"
Widgets,Widgets
"Available Widgets","Available Widgets"
"To activate a widget drag it to a sidebar or click on it. To deactivate a widget and delete its settings, drag it back.","To activate a widget drag it to a sidebar or click on it. To deactivate a widget and delete its settings, drag it back."
"Inactive Widgets","Inactive Widgets"
"Drag widgets here to remove them from the sidebar but keep their settings","Drag widgets here to remove them from the sidebar but keep their settings"
"Sidebar not found","Sidebar not found"
"Seems like no sidebar have been created yet.","Seems like no sidebar have been created yet."
"Cache list","Cache list"
Type,Type
Creator,Creator
Status,"Trạng thái"
Action,Action
"Flush Cache","Flush Cache"
"Clear cache success","Clear cache success"
"Sorry, No cache found","Sorry, No cache found"
App,App
Pusher,Pusher
"Update environment file success","Update environment file success"
Help,Help
"Update shortcuts success","Update shortcuts success"
"Log Viewer","Log Viewer"
"Log not found.","Log not found."
"Seems like no log have been created yet.","Seems like no log have been created yet."
Parameters,Parameters
Update,Update
"Email template not found.","Email template not found."
"Seems like no email template have been created yet.","Seems like no email template have been created yet."
"Media Library","Media Library"
"Do not delete, rename, move files will affect the post currently using the file","Do not delete, rename, move files will affect the post currently using the file"
Plugins,Plugins
Activated,Activated
Activate,Activate
"Read Docs","Read Docs"
Settings,"Cài đặt"
All,All
Inactive,Inactive
"Update Available","Update Available"
"Create a new plugin","Create a new plugin"
"Add new plugin","Add new plugin"
"There is no data.","There is no data."
