,
"Something awesome is coming!","Something awesome is coming!"
"We are working very hard on the new version of our site. It will bring a lot of new features. Stay tuned!","We are working very hard on the new version of our site. It will bring a lot of new features. Stay tuned!"
"Back to home","Back to home"
"Choose Image","Choose Image"
"Manage your Account","Manage your Account"
Appearance,Appearance
Dark,Dark
Light,Light
Language,Language
"Help & Support","Help & Support"
"Send feedback","Send feedback"
"Help us improve the new CMS","Help us improve the new CMS"
"Sign out","Sign out"
"Choose your language","Choose your language"
Account,Account
Notification,Notification
Notifications,Notifications
"See All ({{count}} unread)","See All ({{count}} unread)"
"No messages found","No messages found"
"Enter something...","Enter something..."
Refesh,Refesh
Apps,Apps
"Sign in","Sign in"
Logout,Logout
"Your session has expired. Please log in to continue where you let off.","Your session has expired. Please log in to continue where you let off."
"2-Step Verification","2-Step Verification"
"Enter the verification code generated by your mobile application.","Enter the verification code generated by your mobile application."
"Verification Code","Verification Code"
"Email or phone number","Email or phone number"
"Enter your password","Enter your password"
OR,OR
"Sign in with google","Sign in with google"
Home,Home
"Welcome back {{user}}","Welcome back {{user}}"
"Here's what's happening","Here's what's happening"
Dashboard,Dashboard
General,General
"Reading Settings","Reading Settings"
"Admin Template","Admin Template"
Security,Security
Settings,Settings
"Change settings that affect the entire website","Change settings that affect the entire website"
"Save Changes","Save Changes"
Custom,Custom
Default,Default
"A Static Page","A Static Page"
Page,Page
Posts,Posts
Detail,Detail
Logo,Logo
Slogan,Slogan
"Left column color section","Left column color section"
"Headline Right","Headline Right"
Status,Status
Developing,Developing
Production,Production
"Some functions will be activated when the website is ready, the view will automatically minify, so please check javascript, css, html before turning on.","Some functions will be activated when the website is ready, the view will automatically minify, so please check javascript, css, html before turning on."
"Site Title","Site Title"
Description,Description
"In a few words, explain what this site is about","In a few words, explain what this site is about"
"Email Address","Email Address"
"This address is used for admin purposes, like new user notification","This address is used for admin purposes, like new user notification"
"Date Format","Date Format"
"Time Format","Time Format"
Homepage,Homepage
"Link to admin page","Link to admin page"
"The default admin page path is admin, change it to a secret word that only you and a few people know to be able to access the webmaster","The default admin page path is admin, change it to a secret word that only you and a few people know to be able to access the webmaster"
"Token expiration time (Seconds)","Token expiration time (Seconds)"
"Default is 3600 seconds","Default is 3600 seconds"
"Limit the number of times you enter the wrong password","Limit the number of times you enter the wrong password"
"Waiting time after entering wrong password too many times","Waiting time after entering wrong password too many times"
"Limit ip can login admin page","Limit ip can login admin page"
"Sign in on a single machine","Sign in on a single machine"
Optional,Optional
"User may not enable or enable it depending on the user","User may not enable or enable it depending on the user"
Obligatory,Obligatory
"All users are only allowed to login on a single machine at a time","All users are only allowed to login on a single machine at a time"
"Disable Iframe","Disable Iframe"
"Turn off embedding my website on other websites","Turn off embedding my website on other websites"
"Sign In on one device","Sign In on one device"
"Only one device login limit","Only one device login limit"
"Activate Recaptcha","Activate Recaptcha"
"Enable captcha checking in the login form into the admin area","Enable captcha checking in the login form into the admin area"
"Site Key Recapcha Google","Site Key Recapcha Google"
"Site Key Recapcha Google is the key capcha of your website used to authenticate recapcha used on login, you can get the key here . learn more here","Site Key Recapcha Google is the key capcha of your website used to authenticate recapcha used on login, you can get the key here . learn more here"
"Recapcha secret","Recapcha secret"
"Recapcha secret is the capcha code of your website used to authenticate recapcha used on login, you can get the key here . learn more <a href=""https://www.google.com/recaptcha/admin"" target=""_blank""> here </a>","Recapcha secret is the capcha code of your website used to authenticate recapcha used on login, you can get the key here . learn more <a href=""https://www.google.com/recaptcha/admin"" target=""_blank""> here </a>"
"2-Step Authentication","2-Step Authentication"
"Google Authenticator Secret","Google Authenticator Secret"
"Scan the image below with Google Authenticator or an alternative application.","Scan the image below with Google Authenticator or an alternative application."
"Sign In With Google","Sign In With Google"
"Accounts using google email will be mapped to google accounts to help you sign in faster and more securely (registration not included).","Accounts using google email will be mapped to google accounts to help you sign in faster and more securely (registration not included)."
"Google OAuth Client ID","Google OAuth Client ID"
"Google OAuth Client Secret","Google OAuth Client Secret"
Edit,Edit
"Does not exist {{post_type}} with id is {{id}}","Does not exist {{post_type}} with id is {{id}}"
"Add new","Add new"
Content,Content
"Go Back","Go Back"
"Back to list","Back to list"
Starred,Starred
Publish,Publish
Draft,Draft
Pending,Pending
Trash,Trash
"Release date","Release date"
Visibility,Visibility
Public,Public
"Password protected","Password protected"
Private,Private
"Password confirm","Password confirm"
"Protected with a password you choose. Only those with the password can view this post","Protected with a password you choose. Only those with the password can view this post"
Cancel,Cancel
OK,OK
Delete,Delete
Restore,Restore
"Are you sure you want to permanently remove this item?","Are you sure you want to permanently remove this item?"
Copy,Copy
Update,Update
Author,Author
Editor,Editor
"Created At","Created At"
"Last Updated","Last Updated"
times,times
"{{total}} Records found. Page {{current_page}} of {{total_page}}","{{total}} Records found. Page {{current_page}} of {{total_page}}"
"Nothing To Display.","Nothing To Display."
"Seems like no {{data}} have been created yet.","Seems like no {{data}} have been created yet."
Loading...,dfdg
"Rows per page:","Rows per page:"
of,of
"more than","more than"
"Confirm Deletion","Confirm Deletion"
Search,Search
