,
"Project Category","Project Category"
Title,Title
Slug,Slug
Description,Description
Project,Project
Content,Content
Category,"Danh mục"
Banner,Banner
"Featured Image","Hình đại diện"
Name,Tên
"Copyright ©2020 All rights reserved | This template is made with :heart DNA",.....
Home,Home
page,page
Blog,Blog
"Explore more","Tìm hiểu thêm"
"Get in Touch","Liên lạc"
"Enter your name","Nhập tên của bạn"
"Enter email address","Nhập email"
Email,Email
"Enter Subject","Nhập chủ đề"
"Enter Message","Nhập tin nhắn"
"Send contact successful","Send contact successful"
Send,Gửi
"come on, you have a name, don't you?","Thôi nào, bạn có tên, phải không?"
"your name must consist of at least 2 characters","Tên của bạn phải có ít nhất 2 ký tự"
"come on, you have a subject, don't you?","Thôi nào, bạn có một chủ đề, phải không?"
"your subject must consist of at least 4 characters","chủ đề của bạn phải có ít nhất 4 ký tự"
"come on, you have a number, don't you?","Thôi nào, bạn có một số, phải không?"
"your Number must consist of at least 5 characters","Số của bạn phải có ít nhất 5 ký tự"
"no email, no message","không email, không tin nhắn"
"Please enter a valid email address.","Vui lòng nhập một địa chỉ email hợp lệ."
"um...yea, you have to write something to send this form.","Ừm ... phải, bạn phải viết một cái gì đó để gửi mẫu đơn này."
"thats all? really?","đó là tất cả? có thật không?"
Service,"Dịch vụ"
"Email Address","Địa chỉ email"
"SIGN UP","Đăng ký"
"Search Keyword","Từ khóa"
Search,"Tìm kiếm"
"Enter email","Nhập email"
Subscribe,"Đăng ký"
